time;x;y;z;gforce
7,047;0,03;-0,21;0,96;0,98
7,050;0,02;-0,22;0,98;1,00
7,052;0,01;-0,22;0,98;1,00
7,054;0,01;-0,20;0,94;0,96
7,055;0,02;-0,20;0,94;0,97
7,057;0,01;-0,22;0,99;1,01
7,073;0,02;-0,22;0,98;1,00
7,075;0,02;-0,20;0,94;0,96
7,076;0,02;-0,21;0,94;0,97
7,079;0,02;-0,22;0,99;1,01
7,081;0,02;-0,21;0,97;0,99
7,110;0,02;-0,21;0,94;0,97
7,112;0,02;-0,21;0,95;0,98
7,114;0,02;-0,22;0,97;0,99
7,116;0,02;-0,21;0,96;0,98
7,120;0,02;-0,21;0,95;0,98
7,122;0,02;-0,22;0,96;0,99
7,124;0,02;-0,21;0,96;0,98
7,125;0,02;-0,20;0,96;0,98
7,127;0,02;-0,18;1,03;1,05
7,130;0,02;-0,14;1,17;1,18
7,132;0,02;-0,04;1,44;1,44
7,134;0,04;0,09;1,63;1,63
7,136;0,10;0,11;1,45;1,46
7,138;0,11;0,02;0,94;0,94
7,140;0,05;-0,12;0,45;0,47
7,142;-0,02;-0,23;0,36;0,43
7,143;-0,06;-0,31;0,53;0,62
7,145;-0,08;-0,40;0,69;0,80
7,147;-0,09;-0,45;0,83;0,95
7,150;-0,08;-0,31;1,01;1,06
7,151;-0,02;-0,11;1,07;1,08
7,153;0,04;-0,08;0,96;0,97
7,155;0,05;-0,17;0,90;0,91
7,156;0,02;-0,22;0,98;1,00
7,158;-0,02;-0,19;1,03;1,05
7,610;-0,03;-0,14;0,99;1,00
7,611;-0,02;-0,12;0,94;0,95
7,613;0,01;-0,14;0,94;0,96
7,615;0,02;-0,18;0,99;1,00
7,617;0,02;-0,18;1,01;1,02
7,619;0,00;-0,16;1,00;1,01
7,621;0,00;-0,14;0,99;0,99
7,623;0,02;-0,13;0,96;0,97
7,625;0,02;-0,13;0,94;0,95
7,626;0,01;-0,14;0,96;0,97
7,628;0,01;-0,15;0,98;0,99
7,630;0,00;-0,16;0,99;1,00
7,632;0,01;-0,17;0,97;0,98
7,634;0,02;-0,16;0,96;0,97
7,635;0,02;-0,14;0,98;0,99
